Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Under 30,Gender,Senior Citizen,Married,Dependents,Number of Dependents
No,0,11,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.8,1120.3,0,358,127.49,No,Female,Yes,No,Yes,1
No,0,15,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.376,1074.3,0,344,436.65,No,Male,Yes,No,No,0
Yes,1,1,No,No,Yes,Cable,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,41.808,40.2,0,0,0,No,Male,Yes,Yes,No,0
No,0,3,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,42.796,132.2,0,41,0,No,Male,Yes,No,No,0
No,0,13,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,111.176,1364.3,0,164,424.84,No,Male,Yes,No,No,0
No,0,16,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.228,1511.2,0,151,150.88,No,Female,Yes,No,No,0
No,0,8,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.48,606.55,0,0,14.24,No,Male,Yes,No,No,0
No,0,24,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.144,1712.7,0,0,740.88,No,Male,Yes,No,No,0
No,0,4,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.268,396.1,0,8,126.44,No,Female,Yes,No,No,0
Yes,2,32,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.896,2303.35,0,253,1514.88,No,Male,Yes,Yes,No,0
Yes,1,24,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.876,2231.05,0,0,386.4,No,Male,Yes,Yes,No,0
No,0,54,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,85.748,4350.1,0,0,652.32,No,Female,Yes,No,No,0
No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.164,139.05,0,15,26.34,No,Female,Yes,No,No,0
No,0,21,No,No,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.576,840.1,0,0,0,No,Female,Yes,No,No,0
No,0,27,No,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,31.98,805.1,0,113,0,No,Male,Yes,Yes,No,0
Yes,1,11,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,No,Male,Yes,Yes,No,0
Yes,2,55,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.868,4874.7,0,0,2355.1,No,Female,Yes,Yes,No,0
No,0,3,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.604,233.7,0,3.51,27.66,No,Male,Yes,No,No,0
No,0,1,Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.312,75.3,0,0,35.09,No,Female,Yes,No,No,0
No,0,5,No,No,Yes,Cable,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,29.588,131.05,0,38,0,No,Female,Yes,No,No,0
No,0,20,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,97.864,1782.4,0,232,974.6,No,Female,Yes,No,No,0
Yes,4,5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.324,334.8,0,80,228.8,No,Female,Yes,Yes,No,0
Yes,2,27,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.208,1929.35,0,0,189.54,No,Female,Yes,Yes,No,0
No,0,4,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.768,346.2,0,0,193.4,No,Female,Yes,No,No,0
No,0,1,Yes,Yes,Yes,Cable,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,89.128,85.7,0,0,45.81,No,Female,Yes,No,No,0
Yes,3,65,Yes,Yes,Yes,Cable,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,109.46,6786.4,0,0,1195.35,No,Female,Yes,Yes,No,0
Yes,3,49,Yes,Yes,Yes,Cable,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,93.652,4547.25,0,0,1123.08,No,Male,Yes,Yes,No,0
Yes,1,43,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,115.18,4687.9,0,0,624.36,No,Male,Yes,Yes,No,0
No,0,56,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,108.732,5794.65,0,753,2732.8,No,Male,Yes,Yes,No,0
Yes,7,20,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.332,1899.65,0,209,106.2,No,Male,Yes,Yes,No,0
No,0,2,Yes,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,93.08,161.5,0,34,94.94,No,Female,Yes,No,No,0
No,0,8,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0,0,223.6,No,Female,Yes,No,No,0
No,0,52,No,No,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,51.116,2550.9,0,0,0,No,Male,Yes,No,No,0
No,0,2,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,51.22,91.1,0,27,87.98,No,Male,Yes,No,No,0
Yes,1,33,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.28,3105.55,0,279,916.74,No,Male,Yes,Yes,No,0
No,0,30,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,95.368,2758.15,0,579,1376.4,No,Female,Yes,No,No,0
No,0,20,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,102.492,1842.8,0,258,888.8,No,Male,Yes,No,No,0
No,0,46,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,114.4,4874.8,0,1072,109.02,No,Female,Yes,No,No,0
Yes,1,7,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.424,644.35,0,77,153.37,No,Male,Yes,Yes,No,0
No,0,4,Yes,No,Yes,Cable,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.004,292.8,0,59,147.72,No,Female,Yes,No,No,0
No,0,55,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104,5509.3,0,441,2055.9,No,Female,Yes,No,No,0
Yes,1,20,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.596,1463.5,0,0,107.4,No,Male,Yes,Yes,No,0
No,0,9,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.52,918.6,0,147,438.39,No,Male,Yes,No,No,0
No,0,10,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.764,688.65,0,179,54.6,No,Male,Yes,No,No,0
No,0,1,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.492,73.55,0,0,36.92,No,Male,Yes,Yes,No,0
No,0,3,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.576,205.05,0,25,125.7,No,Female,Yes,No,No,0
No,0,4,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.984,360.1,0,6.84,26.72,No,Female,Yes,No,No,0
No,0,35,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.012,3395.8,0,0,729.05,No,Male,Yes,No,No,0
No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,46.748,85.15,0,10,53.24,No,Male,Yes,No,No,0
No,0,8,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,104.312,832.35,0,250,92.56,No,Male,Yes,No,No,0
Yes,2,44,No,No,Yes,Cable,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,31.564,1359.7,0,422,0,No,Male,Yes,Yes,No,0
Yes,1,62,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,107.9,6383.35,0,1149,440.82,No,Male,Yes,Yes,No,0
Yes,1,33,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.824,2656.5,0,0,1095.27,No,Female,Yes,Yes,No,0
No,0,4,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.072,424.45,0,106,198,No,Female,Yes,No,No,0
Yes,1,27,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.52,1893.95,0,473,286.2,No,Male,Yes,Yes,No,0
No,0,8,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.624,819.4,0,0,323.6,No,Male,Yes,No,No,0
Yes,1,3,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,91.832,273.75,0,5,77.31,No,Female,Yes,Yes,No,0
No,0,8,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.784,729.95,0,0,343.44,No,Female,Yes,No,No,0
No,0,14,Yes,No,Yes,DSL,No,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Credit Card,94.068,1266.1,0,329,158.34,No,Male,Yes,No,No,0
No,0,12,No,No,Yes,Cable,No,No,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,45.396,526.95,0,58,0,No,Male,Yes,No,No,0
No,0,13,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.272,940.35,0,216,524.81,No,Female,Yes,No,No,0
No,0,11,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,93.288,1047.7,0,314,43.56,No,Female,Yes,No,No,0
Yes,1,17,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,104.468,1622.45,0,0,479.06,No,Male,Yes,Yes,No,0
Yes,1,39,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,109.876,4284.8,0,1243,1296.75,No,Male,Yes,Yes,No,0
Yes,5,11,Yes,Yes,Yes,Cable,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,108.212,1133.65,0,340,189.75,No,Female,Yes,Yes,No,0
Yes,1,3,Yes,No,Yes,Cable,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.616,224.05,0,0,9.87,No,Female,Yes,Yes,No,0
No,0,21,Yes,No,Yes,Cable,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,62.452,1236.15,0,185,727.02,No,Male,Yes,No,No,0
No,0,16,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.996,1529.2,0,275,620,No,Female,Yes,No,No,0
No,0,46,Yes,No,Yes,Cable,No,Yes,No,No,Yes,Yes,No,No,One Year,No,Credit Card,99.06,4424.2,0,1460,281.98,No,Female,Yes,No,No,0
Yes,1,68,Yes,Yes,Yes,DSL,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.184,6127.6,0,0,1640.84,No,Female,Yes,Yes,No,0
Yes,1,7,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,93.08,676.7,0,203,95.41,No,Male,Yes,Yes,No,0
Yes,1,15,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,89.024,1345.55,0,323,678.75,No,Male,Yes,Yes,No,0
No,0,16,Yes,Yes,Yes,Cable,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.064,1281,0,0,306.88,No,Male,Yes,No,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.02,69.25,0,0,29.68,No,Female,Yes,No,No,0
No,0,1,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,26.208,25.2,0,0,0,No,Female,Yes,No,No,0
No,0,13,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.852,1290,0,335,247.39,No,Female,Yes,No,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.368,79.2,0,0,20.06,No,Female,Yes,No,No,0
Yes,1,34,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.02,3217.55,0,0,97.92,No,Female,Yes,Yes,No,0
No,0,4,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,103.792,442.85,0,49,50.72,No,Female,Yes,No,No,0
No,0,2,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,97.604,170.85,0,3.42,38.54,No,Female,Yes,No,No,0
No,0,9,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Credit Card,87.776,732.5,0,146,277.2,No,Male,Yes,No,No,0
No,0,5,Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,78.572,349.65,0,35,211.65,No,Female,Yes,No,No,0
No,0,22,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.568,2082.95,0,187,883.96,No,Male,Yes,No,No,0
No,0,19,Yes,Yes,Yes,Cable,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,91.728,1775.8,0,178,759.43,No,Male,Yes,No,No,0
No,0,15,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.676,1146.65,0,0,695.7,No,Male,Yes,No,No,0
No,0,1,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.688,74.7,0,0,11.34,No,Male,Yes,No,No,0
No,0,1,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,26.832,25.8,0,0,0,No,Female,Yes,No,No,0
No,0,10,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.164,898.35,0,135,413.7,No,Male,Yes,No,No,0
No,0,3,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,46.8,127.1,0,9,90.42,No,Female,Yes,No,No,0
Yes,1,12,Yes,No,Yes,Cable,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,83.668,950.2,0,200,83.64,No,Male,Yes,Yes,No,0
No,0,2,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.688,165.4,0,0,13.02,No,Male,Yes,No,No,0
No,0,1,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,92.352,88.8,0,0,49.6,No,Male,Yes,No,No,0
Yes,1,13,Yes,No,Yes,Cable,No,Yes,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,92.612,1169.35,0,70,19.11,No,Male,Yes,Yes,No,0
No,0,23,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.54,2293.6,0,573,716.91,No,Female,Yes,No,No,0
Yes,1,17,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.764,1463.45,0,102,625.94,No,Female,Yes,Yes,No,0
No,0,17,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46.852,770.6,0,0,695.81,No,Male,Yes,No,No,0
No,0,42,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.036,3541.35,0,673,400.26,No,Female,Yes,No,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.264,79.1,0,0,42.3,No,Male,Yes,No,No,0
No,0,1,Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,52.156,50.15,0,0,39.78,No,Male,Yes,No,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.384,69.6,0,0,34.51,No,Female,Yes,No,No,0
No,0,41,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,117.728,4689.5,0,1172,1145.95,No,Female,Yes,No,No,0
No,0,13,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.12,1201.15,29.84,48,339.43,No,Male,Yes,No,No,0
Yes,1,32,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.4,2642.05,49.57,661,191.68,No,Male,Yes,Yes,No,0
Yes,1,32,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,88.712,2661.1,0,293,1587.2,No,Male,Yes,Yes,No,0
Yes,1,57,No,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,46.644,2572.95,12.07,77,0,No,Male,Yes,Yes,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,46.904,45.1,0,0,15.28,No,Male,Yes,No,No,0
No,0,1,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.032,43.3,0,0,0,No,Male,Yes,No,No,0
No,0,38,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,59.436,2250.65,0,67.52,991.8,No,Female,Yes,No,No,0
Yes,1,35,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,104.52,3653.35,0,877,559.3,No,Female,Yes,Yes,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,46.904,45.1,0,0,15.24,No,Female,Yes,No,No,0
Yes,1,30,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,52.416,1527.5,0,489,139.5,No,Male,Yes,Yes,No,0
No,0,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,82.108,378.4,0,83,61.35,No,Female,Yes,No,No,0
No,0,1,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,97.292,93.55,0,0,30.17,No,Male,Yes,No,No,0
Yes,1,58,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,113.204,6287.25,0,1320,2864.04,No,Male,Yes,Yes,No,0
No,0,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.14,1350.15,0,108,280.16,No,Female,Yes,No,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.748,69.95,0,0,22.5,No,Female,Yes,No,No,0
Yes,1,5,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.24,371.65,40.64,0,236.4,No,Female,Yes,Yes,No,0
No,0,21,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,100.672,2030.3,10.2,162,887.67,No,Male,Yes,No,No,0
No,0,43,Yes,No,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card,112.476,4600.7,0,506,1368.69,No,Female,Yes,No,No,0
Yes,1,32,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,96.928,2931,17.88,205,1079.68,No,Female,Yes,Yes,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.372,70.55,0,0,18.2,No,Female,Yes,No,No,0
Yes,1,29,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,102.44,3004.15,37.55,931,747.62,No,Male,Yes,Yes,No,0
Yes,1,13,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.06,1233.65,48.09,86,412.1,No,Male,Yes,Yes,No,0
Yes,1,7,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,77.376,527.9,32.46,0,62.44,No,Male,Yes,Yes,No,0
No,0,2,Yes,Yes,Yes,Cable,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,92.092,179.25,0,56,43.14,No,Female,Yes,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.952,91.3,0,0,43.61,No,Female,Yes,No,No,0
Yes,1,7,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,72.904,467.55,20.23,0,112.35,No,Male,Yes,Yes,No,0
Yes,1,57,Yes,Yes,Yes,Cable,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.06,5427.05,12.59,1248,2844.87,No,Male,Yes,Yes,No,0
Yes,4,1,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,104.832,100.8,0,0,17.35,No,Female,Yes,Yes,No,0
Yes,2,17,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.508,1233.4,0,111,17.85,No,Male,Yes,Yes,No,0
No,0,3,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.324,220.95,0,0,55.14,No,Female,Yes,No,No,0
